label,old_name,new_name,tag,filtered_tags
not_an_issue,,Ka Paing Ah Shey Su (Ka Paing Kone Su),name:en,"{""name"":""ကပိုင်အရှေ့စု (ကပိုင်ကုန်းစု)"",""name:my"":""ကပိုင်အရှေ့စု (ကပိုင်ကုန်းစု)"",""pcode"":""153576"",""place"":""village"",""source"":""myOSM village mapping""}"
vandalism,kashaf embrodiery Shop number 140 lakhnow cloth Market basment,kashaf embrodiery Shop number 140 lakhnow cloth Market basment,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V246+WWP"",""addr:street"":"", Pinjrapur Rd, Aram Bagh"",""phone"":""03323253761"",""shop"":""clothes""}"
vandalism,,COACH ALVIN ABADAM,name,"{""addr:city"":""Iba"",""addr:housename"":""B"",""addr:housenumber"":""545"",""addr:postcode"":""2201"",""addr:province"":""Zambales"",""addr:street"":""S. Sarmiento ST."",""building"":""house""}"
vandalism,Luxury Ride it's INTELLIGENCE AGENSI ISI LEPTOPER ROOHALLAH AMIR JAMALI PAK ARMYS FORCES,Luxury Ride it's INTELLIGENCE AGENSI ISI LEPTOPER ROOHALLAH AMIR JAMALI PAK ARMYS FORCES,name,"{""addr:city"":""Karachi"",""addr:street"":""Khalid Bin Walid Rd, Block 2 PECHS"",""shop"":""car""}"
vandalism,,fkx78,name,"{""addr:street"":""الحج البري"",""amenity"":""internet_cafe""}"
vandalism,,rr,name,"{""addr:city"":""Niedernberg"",""addr:housenumber"":""4"",""addr:postcode"":""63843"",""addr:street"":""Hansaring"",""leisure"":""park"",""opening_hours"":""Mo-Fr 09:00-18:00"",""operator"":""rr""}"
vandalism,,Al Jannat bun kabab | Burns road famous,name,"{""addr:city"":""Karachi"",""addr:street"":""V3P2+843, Jamshed Rd, Jamshed Quarters Clayton Quarters,"",""amenity"":""restaurant""}"
vandalism,,"Shoes (don't pay, scam!)",name,"{""shop"":""ticket""}"
vandalism,,Shawns home,name,"{""addr:city"":""Kilgore"",""addr:housenumber"":""705"",""addr:postcode"":""75662"",""addr:state"":""TX"",""addr:street"":""Bell Street"",""building"":""house"",""building:levels"":""1""}"
vandalism,Southeast 49th Street,Boujee Bikes - Electric Bike Rentals,name,"{""highway"":""residential"",""maxspeed"":""25 mph"",""tiger:cfcc"":""A41"",""tiger:county"":""Brunswick, NC"",""tiger:name_base"":""49th"",""tiger:name_direction_prefix"":""SE"",""tiger:name_type"":""St"",""tiger:reviewed"":""no""}"
vandalism,ANSARI AUTO ENGINEARING,ANSARI AUTO ENGINEARING,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V29C+95"",""addr:street"":""MUGHAL MENTION, RAMSAMI MISHAMLI ROAD, near POLICE HEADQUARTERS, Gazdarabad Police Head Quarters,"",""shop"":""motorcycle_repair""}"
vandalism,,THE FOREST LOOKS LIKE A FISH,name,"{""natural"":""wood""}"
